time,P,Temp,Voltage
1330.93,28.66,41.1955,1.79199
1331.09,28.25,41.1955,1.79199
1331.24,28.5,41.1955,1.79199
1331.39,28.33,41.3027,1.79199
1331.55,29,41.3027,1.79199
1331.7,28.63,41.1955,1.79199
1331.86,28.25,41.3027,1.79199
1332.01,27.99,41.1955,1.79199
1332.16,27.93,41.1955,1.79199
1332.32,28.93,41.1955,1.79199
1332.47,28.4,41.1955,1.79199
1332.63,27.76,41.3027,1.79199
1332.78,28.38,41.3027,1.79199
1332.94,29.28,41.1955,1.79199
1333.09,28.52,41.1955,1.79199
1333.24,27.69,41.3027,1.79199
1333.4,28.46,41.1955,1.79199
1333.56,28.37,41.1955,1.79199
1333.71,29.08,41.3027,1.79199
1333.86,28.2,41.3027,1.79199
1334.02,28.72,41.3027,1.79199
1334.17,28.67,41.3027,1.79199
1334.33,28.69,41.1955,1.79199
1334.48,28.91,41.1955,1.79199
1334.63,27.76,41.3027,1.79199
1334.79,28.92,41.1955,1.79199
1334.94,28.54,41.1955,1.79199
1335.1,28.72,41.3027,1.79199
1335.25,28.67,41.1955,1.79199
1335.41,27.86,41.3027,1.79199
1335.56,28.23,41.3027,1.79199
1335.71,28.28,41.3027,1.79199
1335.87,28.68,41.1955,1.79199
1336.02,28.01,41.1955,1.79199
1336.18,27.93,41.3027,1.79199
1336.33,29.03,41.3027,1.79199
1336.49,27.96,41.1955,1.79199
1336.64,28.77,41.1955,1.79199
1336.8,28.59,41.1955,1.79199
1336.95,28.55,41.3027,1.79199
1337.1,28.02,41.3027,1.79199
1337.26,28.65,41.3027,1.79199
1337.41,28.17,41.1955,1.79199
1337.57,28.56,41.3027,1.79199
1337.72,27.59,41.1955,1.79688
1337.88,28.78,41.1955,1.79199
1338.03,28.05,41.1955,1.79199
1338.18,29.28,41.1955,1.79199
1338.34,28.66,41.1955,1.79199
1338.49,28.21,41.3027,1.79199
1338.65,27.75,41.1955,1.79199
1338.8,28.79,41.1955,1.79199
1338.96,27.96,41.1955,1.79199
1339.11,28.34,41.3027,1.79199
1339.27,29.39,41.3027,1.79199
1339.42,28.33,41.3027,1.79199
1339.57,28.99,41.3027,1.79199
1339.73,28.23,41.3027,1.79199
1339.88,29.07,41.1955,1.79199
1340.04,28.43,41.1955,1.79199
1340.19,28.49,41.3027,1.79199
1340.35,28.99,41.3027,1.79199
1340.5,28.67,41.3027,1.79199
1340.65,28,41.1955,1.79199
1340.81,28.66,41.3027,1.79199
1340.96,28.92,41.3027,1.79199
1341.12,28.7,41.1955,1.79199
1341.27,29.09,41.1955,1.79688
1341.42,28.53,41.3027,1.79199
1341.58,29.06,41.3027,1.79199
1341.73,27.75,41.3027,1.79199
1341.89,27.59,41.3027,1.79199
1342.04,28.63,41.3027,1.79199
1342.2,28.86,41.3027,1.79199
1342.35,28.29,41.3027,1.79199
1342.51,28.37,41.3027,1.79199
1342.66,27.81,41.3027,1.79199
1342.81,27.33,41.3027,1.79199
1342.97,28.87,41.3027,1.79199
1343.12,28.07,41.3027,1.79199
1343.28,28.39,41.3027,1.79199
1343.43,29.04,41.3027,1.79199
1343.59,28.6,41.1955,1.79199
1343.74,27.97,41.3027,1.79199
1343.89,28.31,41.3027,1.79199
1344.05,27.67,41.3027,1.79199
1344.2,28.27,41.3027,1.79199
1344.36,28.93,41.3027,1.79199
1344.51,28.63,41.3027,1.79199
1344.67,28.71,41.1955,1.79199
1344.82,28.75,41.3027,1.79199
1344.97,28.43,41.3027,1.79199
1345.13,28.5,41.3027,1.79199
1345.28,28.37,41.3027,1.79199
1345.44,27.68,41.3027,1.79199
1345.59,28.24,41.3027,1.79199
1345.75,28.84,41.4099,1.79199
1345.9,28.77,41.3027,1.79199
1346.06,28.72,41.3027,1.79199
1346.21,27.43,41.3027,1.79199
1346.36,29.23,41.3027,1.79199
1346.52,27.73,41.3027,1.79199
1346.67,28.53,41.3027,1.79199
1346.83,28.82,41.3027,1.79199
1346.98,28.98,41.3027,1.79199
1347.13,28.78,41.3027,1.79199
1347.29,28.41,41.3027,1.79199
1347.44,28.72,41.3027,1.79199
1347.6,27.2,41.3027,1.79199
1347.75,27.77,41.3027,1.79199
1347.91,28.68,41.3027,1.79199
1348.06,27.91,41.3027,1.79688
1348.21,28.86,41.3027,1.79199
1348.37,29.34,41.3027,1.79199
1348.53,28.25,41.3027,1.79199
